flow_duration,total_fwd_packets,total_backward_packets,flow_bytes_sec,flow_packets_sec,packet_length_mean,packet_length_std,fwd_packet_length_mean,bwd_packet_length_mean,min_packet_length,max_packet_length,init_win_bytes_forward,init_win_bytes_backward,label
-0.11114187,-0.0981714,-0.50584227,-0.3066856,-0.31918946,-0.52100563,-0.45105475,-0.30912992,-0.48104197,-0.49215728,-0.44973174,0.0,0.0,2
-0.23624118,-0.50245315,0.10024466,-0.30668333,-0.3191855,-0.52100563,-0.45105475,-0.30912992,-0.4710378,-0.49215728,-0.44973174,0.0,0.0,0
3.2488594,2.057998,1.3124186,-0.3066621,-0.31919014,-0.07313737,0.13703874,0.18829954,-0.096104346,-0.7809396,0.4179448,0.0,0.0,0
-0.40794364,-0.23293197,0.10024466,0.3495032,-0.3144566,3.646375,3.4758937,-0.29263142,3.3875642,-0.7809396,3.2127872,0.0,0.0,2
2.362153,0.30611035,0.58511424,-0.30661312,-0.31919086,1.6852547,1.7292,8.160782,-0.46955574,-0.7809396,1.7465744,0.0,0.0,0
-0.05728039,-0.0981714,-0.50584227,-0.30668584,-0.31918982,-0.52100563,-0.45105475,-0.30912992,-0.48104197,-0.49215728,-0.44973174,0.0,0.0,2
1.8429925,0.44087094,0.22146206,-0.30659616,-0.31919077,1.9794227,1.8383735,-0.302943,2.7427967,-0.7809396,1.7465744,0.0,0.0,2
-0.38117787,-0.23293197,0.10024466,-0.29915383,-0.31913754,3.646375,3.4758937,-0.29263142,3.3875642,-0.7809396,3.2127872,0.0,0.0,2
-0.40749723,-0.50245315,-0.3846249,-0.30358273,-0.31870598,-0.3319557,-0.4363125,0.018777559,-0.35599002,2.0587533,-0.41508493,0.0,0.0,0
1.504397,1.1146737,0.827549,-0.30664116,-0.3191896,0.10759078,0.5237628,0.1629807,0.11450836,-0.7809396,1.025017,0.0,0.0,0
-0.38624334,-0.23293197,0.22146206,-0.2974154,-0.3191167,3.229637,2.5874732,-0.29263142,2.744464,-0.7809396,1.7465744,0.0,0.0,2
2.1422133,0.44087094,-0.02097273,-0.30660683,-0.31919107,2.3670957,3.0198774,-0.302943,4.354716,-0.7809396,2.4796808,0.0,0.0,2
-0.3534993,-0.23293197,0.22146206,-0.30296183,-0.31916168,3.2276921,2.5996547,-0.29263142,2.7427967,-0.7809396,2.4796808,0.0,0.0,2
-0.40266073,-0.23293197,0.22146206,-0.2702037,-0.31889588,3.229637,2.9614978,-0.29263142,2.744464,-0.7809396,2.4796808,0.0,0.0,2
-0.40699553,-0.23293197,0.10024466,-0.14458378,-0.31802273,3.6485355,3.7790065,-0.29263142,3.389565,-0.7809396,3.1701062,0.0,0.0,2
1.5911741,0.30611035,-0.2634075,-0.30668455,-0.3191911,-0.43512297,-0.42095047,-0.18097201,-0.40434343,-0.49215728,-0.42964664,0.0,0.0,0
-0.4080133,-0.23293197,-0.14219011,0.5391132,-0.31461424,4.002835,4.518492,-0.29263142,4.354716,-0.7809396,4.6363187,0.0,0.0,2
-0.40575865,-0.23293197,0.10024466,-0.22491941,-0.31860217,3.6485355,3.6251197,-0.29263142,3.389565,-0.7809396,2.4796808,0.0,0.0,2
2.3949883,0.44087094,0.22146206,-0.306614,-0.319191,1.9807191,2.1462064,-0.302943,2.744464,-0.7809396,1.7465744,0.0,0.0,2
-0.39098197,-0.23293197,-0.02097273,-0.2948718,-0.31911737,4.002835,4.518492,-0.29263142,4.354716,-0.7809396,4.6363187,0.0,0.0,2
-0.37974286,-0.23293197,0.22146206,-0.29953295,-0.31913385,3.2276921,2.1745815,-0.29263142,2.7427967,-0.7809396,1.7465744,0.0,0.0,2
-0.12507267,-0.50245315,0.10024466,-0.3066848,-0.31918803,-0.52100563,-0.45105475,-0.30912992,-0.4710378,-0.49215728,-0.44973174,0.0,0.0,0
-0.37939608,-0.23293197,0.10024466,-0.29961896,-0.3191409,3.646375,3.4758937,-0.29263142,3.3875642,-0.7809396,3.2127872,0.0,0.0,2
-0.37282792,0.036589183,-0.50584227,-0.3066722,-0.31916595,-0.52100563,-0.45105475,-0.30912992,-0.48104197,-0.49215728,-0.44973174,0.0,0.0,2
-0.4063159,-0.36769256,-0.2634075,-0.30426177,-0.31881228,-0.34599942,-0.38986713,-0.14826965,-0.31097132,0.75923276,-0.4015275,0.0,0.0,0
-0.40448746,2.4622798,2.8882446,-0.091560826,-0.3167009,2.338551,1.1900438,-0.03179389,2.200131,-0.7809396,1.001417,0.0,0.0,0
